Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
TeaStore-master,tools.descartes.teastore.image.setup,SetupController,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 13
TeaStore-master,tools.descartes.teastore.persistence.repository,DataGenerator,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 14
TeaStore-master,tools.descartes.teastore.persistence,RepositoryTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 14
TeaStore-master,tools.descartes.teastore.webui.servlet,CartServlet,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
TeaStore-master,tools.descartes.teastore.webui.servlet,CategoryServlet,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
TeaStore-master,tools.descartes.teastore.webui.servlet,ProductServlet,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
TeaStore-master,tools.descartes.teastore.webui.servlet,ProfileServlet,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
